@relation sulfurCatalyst

@attribute feature_0 numeric
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute target numeric

@data
1.0533,0.003324,330.58,307.61,334.96,340.05,362.73,375.36,338.42,318.99,313.19,0.16842,0.73788
1.0502,0.00313,330.61,307.57,333.94,337.73,349.86,367.86,340.48,319.84,313.54,0.16929,0.74268
1.0471,0.003245,329.03,307.06,333.89,336.36,350.81,370.9,342.68,319.15,314.23,0.16753,0.74753
1.0503,0.002606,329.38,305.92,330.79,332.28,334.67,336.56,329.44,320.07,316.88,0.17145,0.73391
1.0437,0.003291,328.79,304.5,331.04,334.2,343.2,359.61,344.73,320.25,314.16,0.16736,0.74499
1.0503,0.003036,327.28,306.08,329.93,331.69,337.49,342.96,337.45,321.83,317.28,0.16823,0.73247
1.0502,0.003264,328.32,304.68,330.26,332.89,339,350.28,345.22,323.03,315.52,0.16812,0.74429
1.0509,0.003426,327.42,304.4,330.17,333.99,342.02,362.37,347.44,320.59,314.13,0.16893,0.74279
1.0694,0.003279,327.88,304.27,329.7,333.43,338.87,348.68,344.88,323.39,316.82,0.16872,0.73311
1.0457,0.003676,326.55,305.23,331.09,334.32,346.46,378.86,347.75,318.58,312.08,0.16661,0.73494
1.0471,0.003341,328.15,303.97,328.84,332.1,337.72,346.73,342.55,322.03,316.03,0.16801,0.73177
1.0547,0.003643,328,304.24,329.64,333.89,342.3,369.43,350.19,320.98,313.38,0.16706,0.72973
1.0559,0.003304,328,304.54,329.99,332.61,337.86,346.34,342.4,323.26,316.32,0.16668,0.73543
1.0618,0.003365,327.56,305.01,329.41,331.57,337.92,350.64,346.3,323.23,316.21,0.16897,0.73286
1.0445,0.003413,326.69,303.5,328.69,330.61,337.85,348.22,344.86,322.95,317,0.16659,0.73136
1.0592,0.00346,326.31,304.27,329.07,330.66,335.97,343.05,343.02,323.96,317.45,0.16787,0.73227
1.0675,0.003437,326.14,303.47,326.6,328.77,332.8,335.4,333.94,322.94,317.95,0.16884,0.73954
1.0525,0.003316,325.59,301.77,325.66,327.19,328.75,329.25,325.76,319.32,315.49,0.16885,0.73644
1.0413,0.003192,323.88,301.05,325.43,326.05,327.78,327.46,322.97,317.64,314.27,0.16781,0.74023
1.0517,0.003231,323.6,300.94,325.08,324.93,325.96,326.7,323.19,317.83,315.58,0.16798,0.7374
1.0484,0.003336,324.09,300.1,323.69,324.43,326.45,325.45,321.48,317.16,315.34,0.16805,0.7388
1.0546,0.003203,324.13,299.78,323.2,324.24,323.99,323.13,321.18,316.42,313.83,0.16894,0.73141
1.0532,0.003038,323.46,300.62,323.56,323.96,323.48,321.17,317.68,313.75,310.89,0.16835,0.73675
1.0052,0.003275,323.43,298.91,322.84,323.86,323.88,322.68,319.82,315.58,312.87,0.16776,0.73723
0.96971,0.003305,322.38,300.07,324.07,323.86,324.57,322.8,320.73,315.3,312.52,0.16775,0.73427
0.9809,0.003272,323.47,299.8,323.34,323.73,323.36,322.47,318.64,314.57,311.99,0.16881,0.72244
0.99343,0.003134,323.22,299.41,322.35,323.38,321.7,320,315.6,311.55,310.8,0.16822,0.73576
0.98792,0.003702,321.4,299.17,323.15,323.31,324.78,323.31,322.1,315.38,312.18,0.16483,0.73358
0.98206,0.003143,322.43,297.62,321.27,320.5,320.95,317.89,314.19,311.16,309.42,0.17018,0.72971
0.98197,0.003012,320.39,297.68,320.33,319.75,319.11,316.37,311.53,308.61,307.91,0.17067,0.73271
0.92922,0.00303,320.45,295.58,319.4,318.84,316.16,312.59,309.34,306.29,304.75,0.16891,0.72144
0.94516,0.003253,318.35,294.36,317.4,315.39,312.94,309.59,306.32,303.58,302.83,0.16932,0.72158
0.9451,0.003053,316.24,292.43,315.12,312.46,309.69,304.89,302.54,300.43,298.67,0.17176,0.72924
0.95495,0.003054,313.75,290.27,312.13,309.78,306.79,302.27,300.11,297.27,296.22,0.1727,0.72872
0.9393,0.003025,312.45,289.79,310.42,308.67,304.48,301.63,297.28,296.98,296.3,0.17348,0.72253
0.97819,0.003399,311.44,288.81,309.72,308.26,304.12,299.57,296.54,294.65,295.36,0.17404,0.72204
1.1021,0.003351,311.99,289.22,309.26,308.06,303.77,301.5,298.31,296.59,294.96,0.17515,0.72306
1.1028,0.003376,314,292.32,311.87,311.13,308.46,305.32,302.4,299.15,299,0.17387,0.71956
1.1172,0.003335,317.51,295.33,316.43,315.46,313.88,310.89,308.1,305.67,304.78,0.17141,0.72468
1.1384,0.002911,319.13,297.08,319.33,318.39,316.66,315.26,312.31,309.31,308.17,0.17172,0.72331
1.0002,0.003811,322.27,300.49,323.43,323.86,325.12,326.22,325.37,318.55,316.07,0.16715,0.72958
0.97443,0.003352,321.71,299.8,323.21,322.35,323.05,323.38,320.6,315.27,312.47,0.16769,0.71643
0.98521,0.003298,321.48,298.08,320.8,321.72,320.59,319.91,316.28,313.76,310.59,0.16757,0.72074
0.98879,0.003291,318.85,297.83,318.65,319.9,318.14,317.13,314.71,310.54,308.44,0.16883,0.72215
0.98659,0.003379,318.16,298.42,319.22,318.01,317.75,316.25,313.55,310.04,309,0.1675,0.71886
0.97661,0.003325,318.06,297.18,317.34,317.08,315.96,313.66,310.37,308.14,306.65,0.17026,0.71968
0.99515,0.003293,317.18,296.62,315.51,316.5,315.37,313.64,311.1,308.69,307.93,0.17023,0.72331
1.0023,0.00337,315.29,295.43,314.7,314.77,312.95,310.18,308.02,305.43,305.08,0.16938,0.71535
0.99303,0.003274,315.57,293.97,315.17,312.88,310.91,308.1,305.53,304.02,303.01,0.17117,0.71396
0.98088,0.003303,315.3,293.6,314.04,313.01,311.4,308.57,304.69,302.47,302.17,0.17042,0.71665
0.98247,0.003342,314.78,293.54,314.01,312.73,309.55,307.01,304.03,302.55,301.9,0.17063,0.72982
0.98257,0.003541,314.84,292.38,313.72,312.36,309.79,306.99,303.1,302.39,301.08,0.17072,0.73111
1.0038,0.003174,314.59,293.48,313.86,312.46,309.54,307.38,303.17,301.86,300.57,0.17314,0.7289
1.0071,0.003187,315.64,292.78,312.89,312.75,310.56,307.16,303.49,301.71,300.59,0.17005,0.73086
0.9806,0.003338,315.71,293.53,313.45,313.13,310.61,306.61,303.98,300.75,301.23,0.16962,0.72502
0.98763,0.003101,314.35,293.76,312.21,311.4,309.12,306.58,303.57,300.79,300.68,0.17309,0.73249
0.97328,0.003101,313.8,293.67,312.86,311.62,308.44,305.89,302.68,300.57,300.77,0.17295,0.74004
0.99081,0.003284,312.8,292.5,311.67,310.71,308.89,305.67,302.79,301.23,299.55,0.17124,0.74565
1.0612,0.003175,313.46,291.25,311.62,310.96,307.92,304.15,300.79,300.08,299.52,0.17309,0.73493
1.0991,0.003051,313.95,292.85,311.53,309.59,306.97,304.46,301.83,299.67,298.63,0.1744,0.74697
1.1779,0.003169,315.09,293.4,313.63,312.97,310.45,306.68,304.88,303.01,301.11,0.17149,0.74488
1.2152,0.003039,317.32,297.73,317.45,317.11,314.53,313.23,310.51,308.07,307.17,0.17127,0.74433
1.2301,0.003299,321.41,302.65,322.32,323.6,323.42,323.47,322.06,317.7,315.33,0.16922,0.74437
1.3018,0.003216,327.51,307.42,328.26,330.4,334.51,338.04,335.73,328.67,322.59,0.16904,0.75435
1.2783,0.003163,332.35,313.07,336.47,341.45,355.53,366.94,347.38,328.77,322.53,0.16879,0.75983
1.2781,0.003301,338.13,317.98,343.45,354.73,382.28,374.94,347.53,329.78,324.06,0.16988,0.75538
1.2836,0.003612,339.74,319.22,350.8,369.72,402.86,378.54,346.94,330.54,325.76,0.17074,0.76205
1.279,0.003403,342.25,322.37,353.59,373.47,400.59,375.37,346.94,331.01,326.66,0.17106,0.75558
1.2724,0.00307,341.18,321.68,351.98,368.14,391.29,372.05,345.25,330.51,327.6,0.16936,0.75497
1.2653,0.00315,342.21,322.02,353.48,369.83,392.48,372.97,345.4,331.43,328.03,0.16956,0.75924
1.3866,0.003274,341.61,320.86,348.75,361.6,385.76,375.97,349.96,333.3,328.39,0.16951,0.77382
1.4059,0.003349,340.35,321.12,349.9,364.17,388.69,376.28,350.18,333.75,328.61,0.16924,0.77122
1.3897,0.003367,342.16,321.94,351.85,364.64,391.02,376.01,350.41,333.84,329.11,0.17015,0.76393
1.3858,0.003159,342.2,321.53,352.6,364.81,385.44,373.07,349.58,334.85,328.84,0.17065,0.7795
1.4064,0.003293,343.47,323.73,352.67,367.67,390.97,377.29,351.35,334.31,330.89,0.17168,0.76908
1.4062,0.003378,343.46,324.4,355.35,372.51,395.18,377.5,350.56,335.21,330.29,0.17123,0.77776
1.4011,0.003449,343.99,325.27,355.53,373.92,397.39,378.69,352.18,335.39,331.15,0.17094,0.78749
1.4273,0.003165,344.87,326.64,357.12,372.35,393.2,375.78,350.76,336.22,332.1,0.16978,0.78706
1.4229,0.003058,345.3,326.12,355.59,371.05,389.34,375.18,352.67,337.48,333.03,0.17112,0.77793
1.4037,0.003344,345.14,326.79,359.87,378.09,399.7,378.22,352.45,337.63,334.17,0.17138,0.779
1.4,0.003171,344.22,328.19,358.22,375.91,396.31,376.63,352.37,338.09,333.11,0.16966,0.78632
1.4049,0.003246,345.07,327.41,356.78,374.43,395.43,378.14,353.56,338.04,333.98,0.17011,0.78936
1.4091,0.003338,343.81,329.16,356.57,377.51,401.08,379.39,353.79,339.65,335.25,0.17188,0.79461
1.4011,0.00326,343.55,326.12,354.39,371.41,395.65,378.37,353.85,338.53,333.19,0.17265,0.7901
1.3623,0.003185,341.52,325.18,352.49,366.78,391.95,376.38,351.76,335.64,330.72,0.16993,0.79521
1.2714,0.003245,339.41,323.26,349.8,367.03,396.91,374.43,347.31,332.23,327.96,0.17159,0.7934
1.1264,0.003087,333.61,318.01,342.05,357.9,393.45,370.29,340.28,326.36,321.48,0.17083,0.80385
1.1121,0.003502,326.37,310.92,330.51,335.59,354.18,381.66,346.33,323.17,316.83,0.1671,0.79984
1.1309,0.003424,318.28,304.01,319.84,321.91,324.73,328.7,329.52,325.79,321.88,0.1668,0.81272
1.0631,0.003338,312.91,297.66,312.58,314.09,313.88,314.18,314.5,312.74,311.09,0.16849,0.80561
0.99278,0.003575,308.93,295.99,308.77,309.32,310.07,309.21,308.92,307.54,306.25,0.16823,0.80962
0.9861,0.003228,305.82,292.49,306.94,306,304.11,303.34,302.5,300.96,301.88,0.17082,0.81771
0.98724,0.0034,303.13,289.61,301.89,301.54,299.58,298.36,297.06,295.27,294.9,0.17361,0.82178
0.99117,0.003243,300.88,286.72,300.04,298.31,296.85,295.07,292.98,292.54,292.65,0.17241,0.81023
0.95855,0.002943,298.21,283.94,296.91,295.92,292.83,291.2,290.99,290.61,290.59,0.17499,0.81976
0.70285,0.003559,295.28,280.3,292.06,289.63,287.86,285.33,284.58,285.27,284.85,0.17082,0.82443
0.72932,0.001804,289.09,272.93,284.91,283.36,280.46,278.14,277.99,278.23,278.34,0.17341,0.83126
0.72832,0.001824,288.53,267.6,285.9,283.75,279.85,278.88,278.42,277.64,277.99,0.17412,0.82117
0.72961,0.001799,288.38,272.2,285.2,283.24,280.71,279.07,277.96,277.1,277.18,0.17302,0.82149
0.88335,0.001544,327.01,314.44,329.51,331.99,336.54,337.16,329.32,322.47,320.21,0.17406,0.83141
1.1014,0.00127,329.08,313.34,329.08,330.4,330.35,327.63,325.05,321.16,318.88,0.17729,0.82759
1.1861,0.001673,322.43,306.96,322.63,323.58,322.31,322.44,319.41,317.97,315.49,0.17481,0.82719
1.1994,0.001851,323.31,307.02,323.09,323.61,325.43,324.54,322.97,319.98,318.12,0.17549,0.83694
1.1798,0.001353,325.54,311.76,325.23,326.05,326.84,326.07,322.94,319.93,317.57,0.1765,0.83198
1.1787,0.001723,328.28,313.36,329.38,332.19,334.01,334.81,330.73,324.18,322.77,0.17397,0.83522
1.1906,0.001556,330.8,317.37,332.6,334.46,337.65,337.65,331.62,326.55,324.06,0.17419,0.8473
1.1917,0.001467,333.16,317.66,333.59,335.71,337.69,338.44,332.03,326.85,324.09,0.17517,0.84295
1.1967,0.001784,333.14,318.89,336.15,340.23,345.58,346.39,338.1,329.2,326.34,0.17441,0.84507
1.2509,0.001613,332.78,321.56,335.29,339.27,342.25,343.17,337.33,329.16,327.63,0.17423,0.85624
1.2584,0.001406,334.81,322.11,337.18,338.87,341.92,341.85,335.55,330,327.22,0.17716,0.85665
1.2341,0.001723,335.38,323.98,339.66,343.88,349.57,349.55,341.03,331.12,328.64,0.17364,0.85665
1.3114,0.001426,335.99,325.25,339.56,342.85,346.95,346.18,340.37,332.82,329.15,0.17559,0.84884
1.2997,0.001588,337.44,326.05,342.35,345.16,350.59,350.21,343.17,334.47,330.46,0.1746,0.86306
1.3238,0.001537,339.16,327.55,341.78,346.72,352.59,350.38,342.71,334.48,332.39,0.17621,0.86335
1.3303,0.002161,337.66,328.12,345.62,354.19,366.89,362.77,347.22,335.13,332.99,0.17455,0.86824
1.2584,0.001808,337.45,326.95,343.93,349.91,359.34,356.98,343.87,335.22,330.6,0.17272,0.86305
1.2474,0.001646,337.78,325.69,342.39,345.96,354.02,351.9,342.87,333.2,331.32,0.17642,0.87533
1.2432,0.001561,336.45,326.07,339.61,343.58,349.88,349.25,341.08,332.08,328.84,0.17412,0.86338
1.2448,0.001292,335.92,321.14,337.08,340.17,341.63,341.02,336.19,329.59,326.44,0.17525,0.86668
1.2403,0.002022,334.34,320.56,339.24,343.51,352.44,353.38,341.84,330.43,325.97,0.17443,0.88151
1.2549,0.001849,334.63,320.82,338.57,341.87,347.56,348.62,339.76,329.23,326.29,0.17592,0.88223
1.2468,0.001765,333.89,318.79,336.32,340.03,344.94,346.18,337.95,328.68,325.21,0.17533,0.87376
1.2537,0.001601,333.37,319.42,336.96,338.93,341.97,340.73,335.34,326.84,325.33,0.17518,0.88626
1.2516,0.001589,332.27,317.65,335.87,337.9,339.96,341.36,334.52,327.52,325.39,0.17524,0.88955
1.2395,0.001711,333.11,317.7,335.6,337.65,342.92,342.5,336.65,327.85,324.86,0.17551,0.89305
1.2654,0.001742,332.89,318,335.28,338.75,341.34,343.41,337.35,327.9,325.91,0.17544,0.88364
1.2527,0.001354,331.33,318.39,332.6,334.85,336.65,335.84,330.81,326.12,323.22,0.17539,0.88653
1.2533,0.001504,329.34,318.44,331.44,332.63,336.38,335.95,332.73,326.43,324.51,0.17439,0.88614
1.2563,0.001461,327.59,317.64,330.04,332.26,333.49,333.88,330.91,326.87,324.67,0.17451,0.88872
1.2481,0.001624,327.15,316.54,328.01,329.94,333.8,334.84,333.14,325.92,324.18,0.17648,0.90071
1.2448,0.001708,326.3,315.12,327.65,329.79,332.87,334.45,331.38,327.16,324.63,0.17559,0.89468
1.2421,0.001466,325.3,315.3,327.37,327.93,330.78,331.48,329.01,325.47,323.29,0.17652,0.89632
1.2446,0.001582,324.86,314.78,327.03,328.43,331.13,331.06,329.24,325.56,322.91,0.17639,0.89649
1.261,0.001455,324.27,312.75,325.11,326.52,328.23,328.26,326.54,322.69,321.18,0.17694,0.9091
1.238,0.00159,324.63,313.01,324.93,326.83,328.12,328.59,327.42,323,321.97,0.17534,0.90994
1.2517,0.001516,321.96,311.13,323.42,324.93,326.36,326.69,325.77,322.51,320.21,0.17506,0.91111
1.2436,0.001506,322.91,310.63,322.82,324.91,325.11,326.14,325.31,321.23,319.36,0.17595,0.9098
1.2296,0.001574,322.03,308.95,321.97,323.01,325.32,324.45,322.9,320.58,319.4,0.17426,0.91777
1.2509,0.001572,319.52,310.13,320.7,322.69,323.97,324.19,323.24,319.25,317.82,0.17536,0.90744
1.2332,0.001656,320.8,308.28,321.38,321.46,323.53,323.92,323.57,319.59,317.56,0.17475,0.91633
1.2318,0.001849,319.78,309.85,322.2,322.15,325.25,325.53,324.5,320.77,319.54,0.17326,0.925
