@relation bank32nh

@attribute feature_0 numeric
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute target numeric

@data
-1,0,0,-1,0,-1,1,-1,1,-1,-6.19898
1,-1,-1,0,-1,1,-1,0,1,0,-2.78926
-1,0,0,1,0,-1,-1,0,0,0,-6.13385
1,1,-1,1,0,0,0,0,-1,-1,5.68062
-1,1,1,1,-1,-1,0,-1,1,0,-6.86796
-1,0,1,0,0,-1,1,-1,1,1,-6.21935
1,1,1,0,0,1,-1,0,-1,1,8.36184
1,-1,0,-1,-1,0,-1,0,-1,-1,-0.25161
1,0,0,0,-1,-1,1,0,-1,1,2.63376
1,1,0,0,-1,1,1,0,0,0,4.69353
1,1,-1,1,0,-1,1,1,1,-1,6.41255
1,-1,1,0,-1,-1,0,1,1,1,1.52763
1,0,1,1,-1,0,1,1,0,1,6.7762
-1,1,1,1,1,-1,1,1,-1,0,-1.90956
-1,1,-1,1,1,-1,0,1,1,1,-0.086263
1,-1,-1,-1,1,0,0,-1,1,1,-3.6853
1,0,-1,0,-1,1,0,1,1,-1,1.44824
1,-1,1,-1,-1,0,0,0,1,1,1.93046
1,1,1,1,-1,1,0,1,0,1,9.05377
1,1,1,-1,0,1,1,0,-1,1,5.17767
1,-1,-1,-1,-1,1,1,0,1,0,-1.52014
-1,0,-1,1,-1,0,0,-1,-1,1,-8.15439
1,0,-1,1,0,1,1,-1,0,-1,2.33174
1,0,-1,1,1,0,-1,1,1,-1,1.81911
1,0,1,1,1,-1,0,0,0,-1,5.2573
-1,-1,-1,0,1,0,-1,1,0,-1,-0.721893
1,-1,1,1,-1,-1,-1,0,-1,0,2.71944
1,-1,0,0,-1,-1,0,-1,0,0,-0.025317
-1,0,-1,-1,1,1,1,0,0,1,2.00267
-1,1,1,-1,0,0,1,1,0,1,-0.847074
1,1,1,1,1,-1,-1,-1,1,-1,8.49751
1,0,-1,1,-1,1,0,-1,-1,0,1.81233
1,0,0,1,0,1,-1,1,-1,0,4.70406
-1,0,1,-1,0,-1,-1,0,0,-1,-6.6644
-1,0,1,1,0,-1,1,-1,1,-1,-4.88206
-1,0,1,0,0,-1,1,0,-1,1,-4.98856
1,1,-1,0,0,0,-1,0,0,1,4.35359
-1,-1,-1,1,1,1,1,1,0,0,3.94059
1,-1,-1,1,-1,0,0,-1,-1,1,-0.987348
1,1,-1,0,0,1,1,-1,1,0,2.7929
-1,1,1,-1,-1,-1,1,-1,-1,-1,-6.94123
-1,-1,-1,0,1,-1,1,-1,1,0,-1.9026
1,1,1,0,1,1,0,-1,-1,0,8.35152
1,-1,0,1,1,0,0,-1,1,0,-0.165248
1,-1,0,1,-1,-1,1,0,0,0,1.33832
-1,-1,0,1,-1,0,0,-1,-1,0,-7.00866
-1,1,-1,1,1,-1,0,-1,1,1,-1.72459
-1,0,0,1,-1,-1,-1,-1,0,1,-9.5244
1,1,1,-1,1,1,-1,0,0,0,5.18438
1,0,0,1,1,0,-1,1,0,1,3.9425
-1,1,1,0,0,0,0,-1,0,0,-3.51635
-1,-1,0,1,1,0,0,1,1,1,-1.20916
1,1,1,1,-1,1,-1,1,0,-1,8.07146
-1,1,-1,-1,1,1,0,1,1,-1,1.66661
-1,0,0,1,1,-1,0,-1,0,0,-4.38471
1,0,1,0,-1,1,0,1,1,1,5.22635
-1,1,1,0,0,0,1,0,1,-1,-0.62135
1,-1,0,0,-1,1,1,0,1,1,-0.951055
-1,1,1,-1,0,-1,1,-1,-1,0,-4.97093
-1,1,0,-1,1,-1,0,1,1,0,-1.40248
-1,-1,-1,0,1,1,-1,0,1,-1,0.562377
1,1,1,1,-1,0,0,1,0,-1,7.64011
1,1,-1,1,1,1,1,-1,1,0,6.21748
-1,-1,-1,0,-1,-1,-1,-1,-1,1,-8.7158
-1,0,0,-1,0,0,-1,1,0,0,-4.33076
1,1,-1,1,1,-1,-1,0,1,-1,5.45203
-1,1,-1,-1,0,-1,0,-1,-1,0,-4.71631
1,-1,0,-1,1,1,-1,0,0,1,-0.589505
1,-1,1,-1,0,0,1,1,-1,0,-0.053614
1,0,1,0,-1,1,1,0,-1,-1,5.46745
1,1,1,0,-1,0,0,-1,1,0,9.2887
-1,0,1,0,0,1,0,0,1,1,-3.04123
1,-1,1,-1,-1,-1,-1,0,-1,0,1.03827
1,1,0,0,-1,0,-1,0,1,-1,5.7958
-1,-1,-1,-1,-1,0,1,1,-1,1,-4.35066
1,1,1,1,0,0,0,1,0,1,9.27621
-1,1,1,1,-1,-1,1,-1,-1,0,-7.24757
1,1,-1,0,-1,1,0,-1,0,-1,4.47069
-1,0,1,-1,0,0,0,0,0,1,-2.44893
-1,-1,0,-1,0,1,-1,-1,-1,-1,-0.949601
1,1,1,1,-1,-1,1,1,-1,0,10.0695
-1,0,1,0,0,-1,0,1,0,0,-2.8658
-1,0,0,1,-1,0,-1,-1,1,1,-7.05817
1,0,0,-1,0,1,1,-1,0,0,3.48005
-1,-1,-1,1,0,-1,1,-1,0,-1,-4.41461
-1,-1,-1,-1,-1,-1,0,-1,1,0,-8.39632
1,0,1,1,0,0,0,1,1,-1,5.38055
-1,0,1,-1,1,1,0,0,0,1,1.52577
1,-1,0,-1,0,-1,0,0,-1,-1,-1.27165
-1,-1,0,1,-1,1,0,-1,0,-1,-3.32327
-1,0,-1,-1,1,0,1,1,0,-1,2.62679
1,-1,-1,0,-1,-1,0,-1,1,-1,-2.025
1,0,1,1,1,0,0,0,1,-1,5.31598
1,1,0,0,0,1,1,0,-1,1,4.2982
-1,-1,1,1,-1,-1,0,-1,0,1,-8.87541
-1,-1,1,1,1,-1,-1,-1,0,0,-4.06913
1,-1,-1,1,0,-1,1,0,0,-1,-2.00215
1,1,0,1,1,-1,1,-1,0,1,6.84671
-1,0,1,-1,0,0,0,-1,0,1,-1.98477
1,-1,-1,-1,1,1,0,-1,-1,0,-2.64053
-1,1,0,1,1,0,-1,0,-1,1,-1.21482
1,1,0,-1,1,0,1,1,1,-1,5.09047
-1,1,-1,0,1,0,1,-1,0,-1,1.03073
1,0,0,0,0,1,0,1,-1,0,4.38398
1,1,-1,-1,1,1,-1,1,0,1,4.91197
-1,0,1,0,0,-1,1,0,0,0,-3.90838
-1,1,-1,1,1,1,-1,0,1,1,2.43842
-1,0,-1,0,0,1,0,0,0,0,-0.959924
-1,0,1,-1,-1,1,0,0,0,-1,-4.19747
1,-1,0,1,-1,1,-1,0,1,1,-0.096318
1,0,-1,-1,-1,1,1,-1,0,0,1.54285
1,1,1,-1,1,0,-1,-1,-1,1,5.18264
-1,1,-1,1,0,-1,-1,-1,0,1,-6.78804
-1,0,-1,0,1,1,1,-1,0,-1,1.25988
1,1,1,1,-1,0,-1,1,0,-1,8.05832
-1,-1,-1,0,1,0,0,0,0,0,-0.911464
1,0,0,-1,0,0,1,1,0,-1,2.48713
-1,1,1,1,-1,0,1,0,0,0,-5.37304
1,-1,1,-1,1,1,0,0,0,1,1.71601
1,0,0,1,0,-1,-1,0,-1,-1,2.89689
1,-1,1,0,-1,-1,0,-1,0,-1,3.84766
-1,0,-1,-1,-1,-1,1,-1,-1,-1,-5.9525
-1,-1,0,0,0,-1,0,-1,1,-1,-5.55672
-1,1,0,0,-1,-1,1,0,0,1,-8.42599
-1,1,0,-1,1,-1,1,0,-1,-1,-1.36182
1,0,-1,0,-1,-1,-1,-1,-1,0,1.72124
-1,1,0,1,0,0,1,1,-1,0,-2.32405
1,1,0,-1,1,-1,1,0,0,1,4.71394
-1,0,-1,0,0,1,1,-1,-1,-1,1.17769
1,0,0,1,1,-1,-1,1,1,1,4.93902
1,0,1,1,-1,0,1,0,1,1,4.9026
-1,1,-1,0,1,0,1,1,0,1,1.05686
-1,1,1,-1,-1,1,-1,1,0,1,-5.52162
-1,-1,1,-1,-1,-1,-1,1,0,0,-9.83401
1,1,1,1,1,-1,-1,1,0,1,8.7449
1,1,0,1,-1,1,0,1,0,0,5.39951
1,0,1,0,0,1,-1,-1,1,0,6.9708
-1,0,0,0,1,0,0,-1,0,0,-0.194836
-1,1,-1,1,1,0,-1,-1,1,-1,-1.33083
1,-1,-1,1,1,-1,-1,1,1,1,-1.21577
1,0,1,0,1,-1,0,0,-1,0,5.98934
-1,0,1,-1,1,-1,0,0,0,1,-1.13943
-1,-1,1,1,1,1,0,1,0,1,0.654102
-1,-1,0,1,0,-1,1,1,0,0,-4.83367
-1,0,-1,0,1,0,0,1,0,0,-0.105184
-1,-1,1,-1,0,1,1,1,1,1,0.398818
1,-1,1,-1,0,1,1,0,0,1,1.30168
1,0,0,-1,1,1,1,1,-1,0,1.00989
1,0,-1,1,0,-1,1,1,1,1,1.97946
-1,0,-1,-1,0,0,-1,0,0,1,-3.91049
1,1,-1,-1,1,1,0,-1,-1,0,4.48244
-1,1,1,1,-1,1,-1,1,1,0,-4.53311
1,0,1,0,-1,1,-1,1,0,0,5.72588
-1,-1,0,0,0,1,1,1,-1,0,-0.059113
-1,1,-1,-1,0,1,0,-1,1,0,-1.90518
-1,-1,1,1,1,1,0,-1,-1,1,2.85875
1,-1,0,-1,1,0,0,1,-1,1,-1.78467
-1,1,0,-1,1,1,0,0,-1,0,1.99418
-1,-1,-1,-1,-1,0,0,0,1,1,-6.49081
1,1,-1,1,0,1,-1,1,-1,1,3.80306
-1,-1,0,-1,-1,-1,-1,1,-1,-1,-7.43741
-1,1,-1,1,-1,1,-1,-1,0,1,-4.73413
-1,-1,0,0,-1,0,-1,1,0,-1,-7.23529
1,0,0,1,-1,0,-1,1,1,1,4.89243
1,-1,1,0,1,-1,1,0,-1,1,0.294784
-1,1,0,-1,0,0,-1,-1,-1,0,-4.47568
-1,-1,1,-1,1,0,1,-1,-1,-1,1.7615
1,0,0,-1,0,-1,1,1,-1,1,3.86546
-1,0,0,0,1,1,-1,1,1,0,0.449372
-1,-1,1,0,0,1,1,-1,1,0,0.493826
1,1,1,-1,0,0,-1,0,0,0,6.09956
1,0,1,-1,-1,1,0,1,-1,-1,5.27056
1,0,1,0,0,-1,-1,1,-1,1,4.61583
-1,-1,0,0,-1,1,1,-1,-1,1,-1.6278
-1,1,1,-1,-1,0,0,0,-1,0,-5.02973
1,0,-1,1,-1,-1,0,0,-1,-1,0.649944
1,-1,-1,1,1,-1,0,-1,-1,0,-1.39128
-1,-1,1,-1,-1,0,-1,1,1,-1,-5.64628
1,-1,-1,-1,0,-1,0,-1,1,-1,-3.39033
-1,-1,1,-1,-1,1,-1,0,0,0,-5.78141
-1,0,1,-1,0,1,1,0,1,-1,1.45193
1,-1,1,0,1,1,0,0,0,1,2.20007
-1,1,0,-1,1,-1,1,0,1,0,-1.01145
1,0,-1,1,-1,-1,-1,-1,-1,-1,2.53927
1,-1,-1,1,-1,1,0,0,0,1,-0.799737
1,0,-1,1,0,0,-1,-1,1,-1,0.539194
1,1,1,0,0,-1,0,0,1,-1,9.16474
-1,0,0,-1,1,-1,1,-1,1,1,-2.14359
-1,0,-1,1,0,-1,-1,1,-1,-1,-6.49299
1,-1,1,-1,0,0,0,0,0,-1,0.888918
-1,-1,-1,1,0,1,1,0,-1,1,1.36301
-1,1,1,1,-1,1,0,0,1,-1,-4.81296
1,1,0,-1,1,1,1,0,1,-1,4.73122
-1,-1,0,-1,0,0,-1,0,1,1,-5.81381
1,0,0,1,1,0,-1,-1,-1,0,2.49521
1,0,1,1,0,0,1,0,-1,1,5.81625
1,-1,0,1,-1,1,0,-1,-1,-1,2.38036
1,1,-1,-1,0,-1,-1,-1,-1,0,3.45643
1,1,-1,0,1,0,1,-1,1,1,2.91945
-1,0,1,-1,1,1,1,0,1,1,4.85993
1,0,-1,0,-1,-1,0,-1,1,-1,1.11802
-1,1,-1,-1,-1,1,1,0,1,0,-2.00201
-1,0,1,1,1,-1,0,1,0,-1,-1.21696
-1,-1,0,0,1,1,0,1,-1,1,2.68641
-1,-1,0,0,0,0,0,1,0,0,-2.42505
1,1,1,1,0,0,1,-1,1,1,9.22418
-1,0,1,-1,0,1,0,0,1,1,-2.78162
-1,1,0,0,1,0,1,-1,-1,1,1.44712
-1,0,-1,0,1,1,0,-1,1,0,1.90444
-1,0,1,1,1,1,0,-1,1,-1,2.76879
1,1,0,-1,0,-1,-1,-1,0,-1,5.78427
1,0,1,1,-1,0,0,1,1,-1,7.98542
1,0,0,0,0,0,-1,1,0,0,2.47014
1,1,-1,-1,0,-1,0,-1,-1,1,2.69126
-1,-1,1,0,-1,0,1,1,0,0,-5.51243
-1,0,1,-1,-1,0,1,-1,-1,0,-7.0721
1,1,0,0,1,-1,1,-1,-1,0,6.39411
-1,-1,-1,1,1,-1,1,0,-1,-1,-2.69015
-1,-1,1,0,1,-1,1,1,1,1,0.453689
-1,-1,0,1,-1,1,-1,-1,-1,1,-5.60496
-1,-1,0,1,-1,-1,-1,-1,-1,1,-5.71144
1,0,0,1,1,-1,1,0,-1,1,5.73477
-1,-1,-1,0,1,1,-1,1,-1,1,-0.016278
-1,0,1,1,-1,0,1,0,0,1,-4.37152
1,0,1,-1,-1,0,-1,-1,0,1,3.60498
1,-1,-1,0,-1,0,0,-1,-1,0,-1.41463
1,-1,0,-1,-1,0,-1,1,1,1,-1.2205
1,1,0,0,0,0,1,0,-1,0,7.97268
-1,1,-1,1,0,1,0,1,0,-1,-0.19738
1,1,0,1,0,1,1,0,1,0,8.41441
1,1,0,0,0,1,-1,1,-1,-1,5.96205
1,1,1,0,-1,1,0,0,-1,1,7.56976
1,1,0,0,-1,1,0,-1,-1,-1,7.55184
-1,0,0,0,-1,1,1,0,-1,-1,-3.12174
1,1,0,-1,1,-1,1,1,1,0,3.45439
1,1,1,0,-1,-1,1,1,-1,0,8.70106
-1,-1,1,0,-1,1,0,-1,1,-1,-3.57359
1,-1,-1,-1,-1,-1,1,1,1,-1,-2.65063
1,1,-1,0,-1,-1,0,1,-1,-1,5.11739
-1,-1,1,-1,0,-1,-1,-1,1,-1,-6.15206
-1,-1,1,0,-1,-1,0,1,1,-1,-7.66679
-1,-1,-1,1,0,0,-1,-1,1,0,-4.7498
1,0,0,1,0,-1,-1,-1,0,1,3.50806
1,1,1,1,0,-1,1,1,0,-1,7.8672
-1,1,0,0,0,0,-1,1,-1,-1,-5.4949
-1,-1,1,1,-1,1,0,-1,-1,0,-5.34656
-1,1,0,0,-1,-1,1,-1,0,0,-5.49241
1,0,0,0,0,-1,1,0,1,0,1.05336
-1,-1,-1,-1,1,1,1,1,1,-1,2.86398
-1,0,0,1,-1,0,1,1,0,1,-5.41086
1,-1,0,1,1,-1,0,-1,1,0,-0.507256
-1,1,-1,-1,-1,-1,-1,0,0,0,-8.45096
1,0,0,1,-1,-1,1,1,-1,-1,3.46319
-1,0,-1,0,-1,-1,1,1,1,-1,-7.73661
-1,0,-1,1,1,1,-1,0,0,0,1.92485
1,0,0,0,0,-1,0,1,1,-1,2.59961
1,1,-1,0,0,-1,0,0,-1,1,5.36311
-1,-1,1,-1,1,-1,1,0,-1,-1,0.236691
1,0,0,1,0,0,-1,-1,-1,0,3.11727
1,1,-1,0,0,-1,0,0,1,0,4.27643
-1,0,-1,-1,-1,0,0,-1,0,1,-6.47987
1,1,1,0,-1,-1,0,1,0,-1,8.76905
-1,0,1,1,1,-1,-1,0,1,-1,-3.46472
-1,0,-1,-1,1,-1,0,1,1,0,-1.58921
1,0,-1,-1,0,1,-1,1,1,0,0.781689
-1,1,-1,-1,0,-1,0,-1,1,-1,-4.66324
-1,-1,-1,1,0,0,1,1,1,-1,-1.17411
1,-1,0,0,-1,0,0,1,0,-1,-0.161128
1,-1,1,-1,-1,1,-1,-1,1,-1,-0.096465
1,1,1,1,1,1,1,0,0,0,7.87308
1,0,-1,1,1,1,-1,1,0,-1,1.34177
-1,0,1,1,0,-1,0,-1,-1,-1,-5.47835
-1,0,-1,0,1,-1,-1,1,-1,1,-3.68295
1,-1,1,-1,1,-1,1,0,-1,1,-0.424355
-1,0,1,1,-1,-1,1,-1,1,-1,-5.65403
1,-1,1,1,-1,-1,0,-1,-1,0,2.04132
1,-1,-1,-1,1,-1,-1,1,0,-1,-4.29559
1,1,-1,1,0,0,-1,1,1,-1,4.67446
-1,0,1,0,0,-1,-1,-1,-1,1,-6.17237
-1,-1,0,0,-1,0,0,-1,1,-1,-6.58621
-1,1,1,1,1,1,0,1,0,-1,1.36688
1,0,-1,0,1,-1,0,1,0,-1,1.13689
-1,0,1,1,-1,1,-1,-1,-1,-1,-4.48146
-1,0,-1,0,1,0,0,0,0,0,-0.71992
-1,-1,1,-1,0,1,-1,1,0,0,-1.55309
1,0,-1,1,-1,-1,1,1,-1,-1,3.1773
1,-1,1,1,0,1,-1,-1,0,0,2.69374
1,0,1,1,-1,-1,1,0,1,0,4.94309
-1,1,0,1,-1,0,0,-1,0,-1,-5.14438
-1,1,-1,0,1,1,-1,1,-1,1,2.11643
1,-1,-1,1,1,-1,0,1,-1,1,-0.228758
1,-1,0,1,1,1,-1,-1,1,-1,0.592259
1,1,-1,1,1,0,0,0,-1,1,3.8286
-1,0,1,0,1,1,0,0,0,0,2.11737
1,-1,1,0,0,0,0,1,1,1,3.93988
-1,-1,1,-1,1,-1,1,0,1,1,-2.24623
1,1,1,0,-1,0,-1,0,0,-1,6.5688
1,-1,0,1,-1,-1,1,-1,0,1,1.44057
-1,-1,0,-1,1,0,-1,0,-1,0,-1.06184
-1,0,-1,1,0,1,1,1,1,1,-0.770696
1,-1,0,-1,-1,-1,1,0,-1,0,-0.882748
1,0,-1,0,1,0,0,-1,0,0,0.428252
-1,0,-1,-1,0,0,0,-1,1,1,-3.20852
-1,1,1,-1,1,0,0,1,-1,1,-0.317739
-1,1,1,1,-1,-1,1,0,0,0,-7.22371
1,-1,0,-1,-1,1,-1,0,-1,1,-1.68952
-1,-1,0,1,0,-1,1,1,-1,0,-4.64959
-1,1,-1,-1,0,-1,-1,-1,1,1,-4.93271
-1,1,-1,1,-1,-1,1,-1,-1,1,-7.82382
1,-1,-1,-1,0,-1,-1,1,-1,-1,-4.14933
-1,-1,1,-1,-1,0,0,-1,0,1,-5.02861
-1,1,-1,0,-1,1,0,-1,0,0,-4.15467
1,1,1,0,0,-1,0,0,0,0,8.94905
1,0,-1,-1,1,1,0,0,-1,-1,-1.28735
1,0,1,1,-1,0,0,0,-1,0,5.3703
-1,-1,-1,1,1,0,-1,-1,1,-1,-0.686364
1,1,1,0,0,0,0,-1,-1,1,8.71631
1,-1,0,1,0,0,1,0,1,1,-0.462747
-1,0,0,0,-1,-1,-1,0,-1,1,-9.03268
1,-1,-1,0,0,1,-1,1,1,1,-3.50196
-1,0,-1,1,-1,0,1,1,0,-1,-6.76266
1,-1,-1,-1,-1,1,1,-1,1,-1,-2.98697
1,1,0,1,1,-1,-1,-1,0,1,6.70053
1,-1,1,1,0,1,-1,-1,0,-1,1.37111
1,1,-1,-1,-1,1,0,0,1,1,3.21
1,-1,0,0,1,-1,1,-1,-1,0,-1.49173
1,0,-1,1,1,1,0,0,-1,0,0.743814
1,1,-1,0,1,-1,-1,1,0,-1,4.82199
1,0,-1,-1,-1,1,-1,-1,0,1,0.031594
1,-1,1,-1,-1,-1,0,1,-1,1,0.760905
1,1,0,-1,-1,1,0,-1,-1,0,5.60807
-1,-1,-1,0,0,0,1,0,-1,1,-3.37652
1,-1,1,1,1,1,1,1,1,-1,2.59494
1,0,0,-1,-1,1,1,-1,0,-1,3.00971
1,0,0,0,-1,1,1,1,1,0,5.08549
